,ip,location,connected_time,valid
0,185.62.102.73,Russia,"[[datetime.datetime(2021, 11, 9, 10, 53, 21, 335325), datetime.timedelta(seconds=11597)]]",1
1,34.89.104.228,United States,"[[datetime.datetime(2021, 11, 9, 10, 53, 21, 335338), datetime.timedelta(seconds=844)]]",1
